ID,Tipo,Numero,Ano,Sessao,Data_Sessao,Vereador,Resumo,Setor_Diretoria,Situacao,Resultado_Votacao,Oficio_Resposta,Status,Observacoes
2124-IND-001,Indicação,011,2022,51ª Sessão Ordinária da 18ª Legislatura,2022-04-04,"Reinaldo Codognato, Sofia Rodrigues dos Santos","Solicita a implementação de sinalização de solo em frente aos Centros de Educação Infantil (CEIs), uma vez que motoristas transitam em velocidade elevada nesses locais, colocando em risco a segurança das crianças.",,,,,Pendente de Análise,"Data da sessão conforme mencionado no texto da transcrição (véspera da data do nome do arquivo, que corresponde ao dia da postagem/upload)."
2124-IND-002,Indicação,012,2022,51ª Sessão Ordinária da 18ª Legislatura,2022-04-04,"Reinaldo Codognato, Marisa Alves da Silva Costa","Solicita a implementação de aulas de Muay Thai nos centros comunitários da cidade, a fim de promover a saúde física e mental dos jovens e incentivar o convívio social da comunidade.",,,,,Pendente de Análise,"Data da sessão conforme mencionado no texto da transcrição (véspera da data do nome do arquivo, que corresponde ao dia da postagem/upload)."
2124-IND-003,Indicação,013,2022,51ª Sessão Ordinária da 18ª Legislatura,2022-04-04,Rui Domingos da Silva,"Solicita, com base na Lei Complementar nº 191/2022, o restabelecimento da contagem para aquisição de direitos relacionados a tempo de serviço aos servidores da saúde do município, referente ao período em que essa contagem esteve congelada devido à pandemia da Covid-19 (maio de 2020 a 31 de dezembro de 2021).",,,,,Pendente de Análise,"Data da sessão conforme mencionado no texto da transcrição (véspera da data do nome do arquivo, que corresponde ao dia da postagem/upload)."
2124-IND-004,Indicação,014,2022,52ª Sessão Ordinária da 18ª Legislatura,2022-04-11,Valdir Aparecido de Oliveira,"Solicita a construção de canaletas para captação de águas pluviais nas proximidades do nº 585 da Rua das Perdizes, local que em períodos de chuva causa transtornos e danos aos móveis das residências devido ao acúmulo de água.",,,,,Pendente de Análise,"Data da sessão conforme mencionado no texto da transcrição (véspera da data do nome do arquivo, que corresponde ao dia da postagem/upload)."
2124-IND-005,Indicação,015,2022,52ª Sessão Ordinária da 18ª Legislatura,2022-04-11,Valdir Aparecido de Oliveira,"Solicita a reconstrução da estrada municipal JQL 237, no bairro Palmeiras, sentido à propriedade do Sr. Paulo Dias, com alargamento da via, quebra de barrancos e caixas de contenção de águas pluviais, por se tratar de via de acesso a Dracena usada por produtores rurais para escoamento da produção agrícola.",,,,,Atendida,"Data da sessão conforme mencionado no texto da transcrição (véspera da data do nome do arquivo, que corresponde ao dia da postagem/upload). Vereador Valdir relatou na sessão de 2022-04-19 (53ª sessão) que a manutenção da estrada já havia sido realizada pelo setor de obras."
2124-IND-006,Indicação,016,2022,52ª Sessão Ordinária da 18ª Legislatura,2022-04-11,"Anderson Marcos Viana, Valdir Aparecido de Oliveira","Solicita a implementação de sinalização e proteção lateral na estrada JQL 357, devido a uma erosão causada pelo deságue de águas pluviais de diversos pontos da cidade, que oferece risco de acidentes a produtores rurais e demais moradores que transitam pelo local.",,,,,Pendente de Análise,"Data da sessão conforme mencionado no texto da transcrição (véspera da data do nome do arquivo, que corresponde ao dia da postagem/upload)."
2124-IND-007,Indicação,017,2022,52ª Sessão Ordinária da 18ª Legislatura,2022-04-11,"Elio Furini Neto, Anderson Marcos Viana, Paulo Sérgio Cordeiro, Teresinha de Lourdes Freitas Regodanso, Valdir Aparecido de Oliveira","Solicita a realização de batimetria nas lagoas de tratamento de esgoto do município (Jardim Paulista e Matadouro), para apurar a real situação e eficácia das mesmas, tendo em vista o odor forte que pode causar problemas respiratórios e dores de cabeça constantes.",,,,,Pendente de Análise,"Data da sessão conforme mencionado no texto da transcrição (véspera da data do nome do arquivo, que corresponde ao dia da postagem/upload)."
2124-REQ-001,Requerimento,004,2022,52ª Sessão Ordinária da 18ª Legislatura,2022-04-11,"Elio Furini Neto, Anderson Marcos Viana, Paulo Sérgio Cordeiro, Teresinha de Lourdes Freitas Regodanso, Valdir Aparecido de Oliveira","Solicita informações ao prefeito municipal sobre como está sendo feito o cálculo dos salários dos professores de educação básica I em conformidade com a Lei Complementar nº 1024/2022 (piso salarial nacional), incluindo o cálculo para professores com carga horária inferior a 40 horas semanais, em razão de reclamações de professores que não entenderam os cálculos aplicados.","Diretoria de Fazenda, Compras, Almoxarifado e Recursos Humanos",Normal,Aprovado,,Pendente,"Data da sessão conforme mencionado no texto da transcrição (véspera da data do nome do arquivo, que corresponde ao dia da postagem/upload). Aprovado por unanimidade de votos."
2124-IND-008,Indicação,018,2022,54ª Sessão Ordinária da 18ª Legislatura,2022-04-25,Valdir Aparecido de Oliveira,"Solicita a realização de treinamentos e capacitações com ênfase em primeiros socorros e direção defensiva para funcionários municipais que atuam como motoristas e operadores de máquinas (setores de obras, educação e saúde), a fim de evitar acidentes e assegurar a proteção dos servidores e da população.",,,,,Pendente de Análise,"Data da sessão conforme mencionado no texto da transcrição (véspera da data do nome do arquivo, que corresponde ao dia da postagem/upload)."
2124-IND-009,Indicação,019,2022,54ª Sessão Ordinária da 18ª Legislatura,2022-04-25,"Reinaldo Codognato, Rui Domingos da Silva","Solicita manutenção periódica nas vias laterais da vicinal (nome transcrito de forma inconsistente ao longo da sessão), além da remoção de árvores que oferecem risco a condutores, pedestres e ciclistas da região, em razão do grande fluxo de pessoas e veículos na localidade.",,,,,Pendente de Análise,"Nome da vicinal transcrito de forma inconsistente: no resumo do expediente consta 'Vicinal Alcides Cânola', no texto integral da indicação consta 'Vicinal Alcides Cânola'/'Vicinal Alcides Cânola', e o vereador Reinaldo, ao comentar a indicação, fala em 'vicinal Henrique Coutinho' (bairro Salgado Filho) como pedido verbal adicional a ser incluído. Não foi possível confirmar o nome oficial correto da via. Data da sessão conforme mencionado no texto da transcrição (véspera da data do nome do arquivo, que corresponde ao dia da postagem/upload)."
