ID,Ano,Sessao,Data_Sessao,Vereador,Resumo,Direcionada_A,Tipo,Status_Acompanhamento,Observacoes
DEN-001,2022,55ª Sessão Ordinária da 18ª Legislatura,2022-05-02,Anderson Marcos Viana,"Vereador relata furtos recorrentes de enfeites de bronze e metal em túmulos no cemitério municipal, citando o caso de uma amiga cujos enfeites (anjinhos) foram colocados no túmulo da filha e roubados poucos dias depois, e pede mais respeito à população e providências para conter os furtos.",,Feita/cobrada pelo vereador,Pendente de Verificação,"Data da sessão conforme mencionado no texto da transcrição (véspera da data do nome do arquivo, que corresponde ao dia da postagem/upload)."
DEN-002,2022,55ª Sessão Ordinária da 18ª Legislatura,2022-05-02,Anderson Marcos Viana,"Vereador relata que moradores entraram em contato com ele para informar o envenenamento de aproximadamente seis gatos e um cachorro nas proximidades da Rua Victor Junqueira, perto da Rua Belém e da sede da fisioterapia.",,Recebida pelo vereador,Pendente de Verificação,"Data da sessão conforme mencionado no texto da transcrição (véspera da data do nome do arquivo, que corresponde ao dia da postagem/upload)."
DEN-003,2022,57ª Sessão Ordinária da 18ª Legislatura,2022-05-16,Anderson Marcos Viana,"Vereador relata que há semanas a água jorra sem controle dos registros do Horto do Seringal (fotos e filmagem próprias), configurando desperdício constante de água, sem que o setor responsável ou a empresa loteadora tenham dado solução até o momento.",Setor de obras/loteador responsável,Feita/cobrada pelo vereador,Pendente de Verificação,"Denúncia reiterada praticamente com os mesmos termos pelo vereador na sessão seguinte (59ª, 30/05/2022), indicando que o problema seguia sem solução."
DEN-004,2022,57ª Sessão Ordinária da 18ª Legislatura,2022-05-16,Anderson Marcos Viana,"Vereador denuncia fiscalização desigual de lotes com mato alto: um lote no loteamento 'Trindade', próximo ao Campo do Madrugada, permanecia sem capinar havia mais de seis meses apesar de pedido formal, enquanto um lote pequeno de pessoa de menor posse foi encontrado, fotografado, notificado e limpo em apenas dois dias.",Setor de fiscalização da Prefeitura,Feita/cobrada pelo vereador,Pendente de Verificação,"Vereador reitera e detalha ainda mais essa denúncia na 59ª sessão (30/05/2022), citando também o loteamento Hortus Seringal, que teria recebido apenas 'advertência' em vez de multa por cerca de cinco meses."
DEN-005,2022,57ª Sessão Ordinária da 18ª Legislatura,2022-05-16,Anderson Marcos Viana,"Vereador relata risco de acidente por poste de madeira apodrecido, sustentado apenas por fios e galhos de árvore, próximo ao Salão Comunitário do Jardim Alvorada, em área com muitas crianças; pedido de troca já havia sido feito há mais de um ano e não foi atendido.",Setor de obras/empresa de energia elétrica,Feita/cobrada pelo vereador,Pendente de Verificação,
DEN-006,2022,58ª Sessão Ordinária da 18ª Legislatura,2022-05-23,Anderson Marcos Viana,"Vereador relata que leite distribuído a famílias pelo programa social do município (fabricação de 19/05, validade até 25/05) foi entregue estragado/azedo na quinta-feira anterior, deixando famílias que dependiam exclusivamente desse leite sem o produto durante o final de semana; a distribuidora alegou problema em máquina de fabricação.",Fornecedor/distribuidora de leite do programa social; Assistência Social,Recebida pelo vereador,Pendente de Verificação,Vereador relatou ter recebido fotos e questionamentos de várias mães; problema foi reconhecido e reposição foi feita na sessão seguinte à queixa.
DEN-007,2022,59ª Sessão Ordinária da 18ª Legislatura,2022-05-30,Anderson Marcos Viana,"Vereador denuncia que os exames de ultrassom, antes realizados na Santa Casa (o aparelho pertencia a um médico particular em parceria com a entidade), foram suspensos há cerca de um ano sem qualquer explicação ou comunicado formal aos vereadores ou à população, obrigando pacientes, especialmente idosos e gestantes, a se deslocarem a outras cidades.",Santa Casa de Misericórdia de Junqueirópolis / Secretaria de Saúde,Feita/cobrada pelo vereador,Pendente de Verificação,
DEN-008,2022,59ª Sessão Ordinária da 18ª Legislatura,2022-05-30,Anderson Marcos Viana,"Vereador relata que, há cerca de um ano, os funcionários do pronto-socorro municipal precisam usar o mesmo banheiro destinado aos pacientes (não há vestiário/banheiro próprio), situação constrangedora tanto para os trabalhadores quanto para os pacientes, que ficam sem acesso a um dos dois banheiros antes disponíveis.",Secretaria de Saúde,Feita/cobrada pelo vereador,Pendente de Verificação,
DEN-009,2022,59ª Sessão Ordinária da 18ª Legislatura,2022-05-30,"Valdir Aparecido de Oliveira, Reinaldo Codognato, Anderson Marcos Viana","Vereadores questionam o destino de cerca de R$ 201 mil aprovados nessa Casa em 2021 para a construção de uma usina de oxigênio na Santa Casa; a obra nunca foi realizada (segundo o diretor de saúde, o rompimento do contrato com o fornecedor de oxigênio não seria compensatório), sem que o valor tenha retornado aos cofres públicos ou tenha havido explicação clara sobre o ocorrido, enquanto a Câmara aprovava nova verba para custeio de oxigênio.",Secretaria de Saúde / Santa Casa de Misericórdia de Junqueirópolis,Feita/cobrada pelo vereador,Pendente de Verificação,"Discussão ocorreu durante a votação do Projeto de Lei Complementar nº 31/2022; vereador Valdir ressalta não estar acusando má gestão, mas questionando o que ocorreu com o valor já destinado."
DEN-010,2022,59ª Sessão Ordinária da 18ª Legislatura,2022-05-30,Anderson Marcos Viana,"Vereador relata ter sido chamado publicamente de 'vagabundo', 'sem-vergonha' e 'safado' por um vice-diretor de escola, em reunião de diretores de escolas da região, por conta de postagens do vereador nas redes sociais sobre crianças caminhando na chuva a caminho da escola.",,Contra o vereador,Pendente de Verificação,Vereador não identificou o nome do vice-diretor nem a escola de origem dele durante a fala.
DEN-011,2022,59ª Sessão Ordinária da 18ª Legislatura,2022-05-30,Anderson Marcos Viana,"Vereador relata que a ampliação da creche do bairro Cristo Redentor, anunciada aos pais no início do ano (época em que algumas crianças já foram remanejadas para outras creches), não havia sido sequer iniciada até o final de maio, gerando transtorno às famílias que precisam se deslocar para creches mais distantes.",Secretaria de Educação,Recebida pelo vereador,Pendente de Verificação,
DEN-012,2022,60ª Sessão Ordinária da 18ª Legislatura,2022-06-06,Anderson Marcos Viana,"Vereador denuncia a destruição de vegetação em um trecho de aproximadamente 100 a 150 metros próximo à sua residência, ocorrida sem autorização da diretoria de meio ambiente, segundo confirmado por telefone pela responsável do setor (Bianca), que atribuiu a atividade ao setor de obras e afirmou não ter assinado nenhuma autorização; vereador afirma que fará denúncia formal caso não haja autorização válida.",Diretoria de Meio Ambiente / Setor de Obras,Feita/cobrada pelo vereador,Pendente de Verificação,Vereador associa o episódio à contradição com a 'Semana do Meio Ambiente' promovida pela administração na mesma semana.
DEN-013,2022,61ª Sessão Ordinária da 18ª Legislatura,2022-06-14,Anderson Marcos Viana,"Vereador relata caso de uma mãe cadeirante cujo filho, paciente do CAPS com necessidades especiais, foi levado a uma consulta fora do serviço; ao tentar contato para buscar o filho, foi tratada com grosseria por funcionário do CAPS, que teria bloqueado seu número, deixando-a sem meio de contato e o filho sem transporte de volta por horas. Após desabafo da mãe nas redes sociais (com cerca de 50 compartilhamentos e outros relatos semelhantes de medo de denunciar), o funcionário abriu processo contra ela.",CAPS / Secretaria de Saúde,Recebida pelo vereador,Pendente de Verificação,"Vereador também relata que, em outra ocasião, o mesmo paciente não recebeu alimentação no CAPS; no primeiro episódio o secretário de saúde interveio e resolveu, no segundo não."
DEN-014,2022,62ª Sessão Ordinária da 18ª Legislatura,2022-06-20,Anderson Marcos Viana,"Vereador relata duas tentativas de furto em trecho escuro da Avenida Edwirges Aparecida Trevisan (próximo ao recinto de exposições/Ceruva): em uma, um indivíduo tentou desviar combustível de um caminhão-tanque através de mangueira, derramando toda a carga no asfalto ao fugir; em outra, houve tentativa de furto de bateria de caminhão estacionado no local. Atribui os episódios à falta de iluminação pública no trecho, já cobrada anteriormente sem solução.",Setor de obras/iluminação pública,Recebida pelo vereador,Pendente de Verificação,
