ID,Numero_Indicacao,Ano,Sessao,Data_Sessao,Vereador,Resumo,Setor,Oficio_Resposta,Status_Atendimento,Observacoes
IND-001,001,2026,44ª Sessão Ordinária da 19ª Legislatura,2026-02-02,Reinaldo Codognato,"Solicita roçagem periódica das margens e repintura das faixas de sinalização do solo em toda a extensão da vicinal José Siniciato (via que liga Junqueirópolis à antiga usina Vale Verde), rota com grande fluxo de caminhões, maquinário agrícola e acesso à cooperativa de catadores.",Trânsito e Mobilidade,,Pendente de Análise,
IND-002,002,2026,44ª Sessão Ordinária da 19ª Legislatura,2026-02-02,Reinaldo Codognato,"Solicita a revitalização do espaço utilizado para a prática de bocha e jogos de cartas, situado entre o ginásio de esportes e a academia, muito frequentado por idosos.",Esporte e Lazer,,Pendente de Análise,
IND-003,003,2026,44ª Sessão Ordinária da 19ª Legislatura,2026-02-02,"Reinaldo Codognato, Bruno Herreira, Elizeu Adriano","Solicita a aquisição de um veículo apropriado para transporte e atendimento de pacientes residentes na zona rural do município, sugerindo o uso de recursos de emenda parlamentar do deputado estadual Mauro Bragato destinada à Saúde.",Saúde,,Pendente de Análise,
IND-004,004,2026,44ª Sessão Ordinária da 19ª Legislatura,2026-02-02,"Adriano de Marcos Lopes, Teresinha de Lourdes Freitas Regodanso","Solicita melhorias na quadra de basquete 3x3 situada no complexo da pista de skate, incluindo instalação de alambrado no perímetro, construção de arquibancada e reparos gerais na infraestrutura.",Obras e Serviços Públicos,,Pendente de Análise,
IND-005,005,2026,44ª Sessão Ordinária da 19ª Legislatura,2026-02-02,Edvaldo Aparecido Carvalho,"Solicita a inscrição do município no programa Turismo 60+ do Governo do Estado de São Paulo, pedindo que a prefeitura disponibilize o transporte necessário para os grupos de idosos, conforme exigido como contrapartida do programa.",A Classificar,,Pendente de Análise,
IND-006,006,2026,44ª Sessão Ordinária da 19ª Legislatura,2026-02-02,Anderson Marcos Viana,"Solicita a aplicação de película de proteção solar (insufilm) nas janelas das salas de aula da Escola Municipal Chigueco e, extensivamente, nas demais escolas da rede municipal, visando saúde pública (redução de poeira/ácaros das cortinas) e economia.",Saúde,,Pendente de Análise,
IND-007,007,2026,44ª Sessão Ordinária da 19ª Legislatura,2026-02-02,Anderson Marcos Viana,"Solicita a implantação de uma cobertura na área externa da Escola Municipal Chigueco, na entrada da Rua Washington Luís, onde ocorre o embarque e desembarque do transporte escolar, visando segurança e conforto dos alunos.",Educação,,Pendente de Análise,
IND-008,008,2026,44ª Sessão Ordinária da 19ª Legislatura,2026-02-02,Anderson Marcos Viana,"Solicita a instalação de grades de proteção (estrutura metálica ou concreto vazado) sobre as canaletas de escoamento de água pluvial no entorno da quadra poliesportiva da Escola Municipal Chigueco, devido ao risco de acidentes com crianças.",Educação,,Pendente de Análise,
IND-009,009,2026,44ª Sessão Ordinária da 19ª Legislatura,2026-02-02,Renato Vieira de Brito,"Solicita a realização de mutirão emergencial de limpeza e desobstrução de bocas de lobo, bueiros e galerias de águas pluviais em todos os bairros da cidade.",Obras e Serviços Públicos,,Pendente de Análise,
IND-010,010,2026,44ª Sessão Ordinária da 19ª Legislatura,2026-02-02,"Teresinha de Lourdes Freitas Regodanso, Adriano de Marcos Lopes","Solicita a contratação específica de médica ginecologista do sexo feminino para atuar no atendimento clínico do Complexo da Saúde, atendendo pedido de munícipes que preferem consulta com profissional mulher.",Saúde,,Pendente de Análise,
