Numero,Ano,Data,Situacao,Autores,Ementa,Titulo
133,2026,21/08/2026,Em tramitação,Edvaldo Aparecido Carvalho (Autor),"Indico ao Excelentíssimo Senhor Prefeito Municipal, que estude junto ao setor competente da administração, as possibilidades de realizar a implantação de um redutor de velocidade (lombada) na Rua José Amatruda, especificamente em frente ao Hotel Santo Sono, visto que o trecho apresenta um fluxo contínuo e intenso de veículos em...",Indicação nº 133/2026
132,2026,21/08/2026,Em tramitação,Anderson Marcos Viana (Autor),"Indico ao Excelentíssimo Senhor Prefeito Municipal, que estude junto ao setor competente da administração, as possibilidades de conceder uma gratificação ou bônus financeiro aos servidores municipais do setor da Educação, como forma de reconhecimento e valorização pelo excelente trabalho que resultou nos altos índices de avaliação...",Indicação nº 132/2026
131,2026,19/08/2026,Em tramitação,"Samir Edson Tino (Autor), Edvaldo Aparecido Carvalho (Autor)","Indicamos ao Excelentíssimo Senhor Prefeito Municipal, que estude junto ao setor competente da administração, as possibilidades de enviar um Projeto de Lei a esta Casa Legislativa propondo a alteração do Estatuto dos Servidores Públicos Municipais de Junqueirópolis, com o objetivo de aumentar o período da Licença-Gestante de 4 (quatro)...",Indicação nº 131/2026
130,2026,18/08/2026,Em tramitação,Reinaldo Codognato (Autor),"Indico ao Excelentíssimo Senhor Prefeito Municipal, que estude junto ao setor competente da administração, as possibilidades de providenciar melhorias essenciais para o Bairro Pioneiros, contemplando a instalação de iluminação adequada no ponto de ônibus situado ao final do calçamento, a realização de podas frequentes nas árvores das...",Indicação nº 130/2026
129,2026,17/08/2026,Em tramitação,"Teresinha de Lourdes Freitas Regodanso (Autor), Adriano de Marcos Lopes (Autor)","Indicamos ao Excelentíssimo Senhor Prefeito Municipal, que estude junto ao setor competente da administração, as possibilidades de realizar o recapeamento asfáltico da Rua Orlando Rodrigues de Freitas, atendendo a um pedido direto e justo dos moradores daquela via.",Indicação nº 129/2026
128,2026,13/08/2026,Encaminhado,Bruno Herreira (Autor),"Indico ao Excelentíssimo Senhor Prefeito Municipal, que estude junto ao setor competente da administração, as possibilidades de providenciar a instalação de um sistema de iluminação na praça localizada no Bairro Figueira. Trata-se de uma melhoria muito pedida pelos moradores da região para valorizar o espaço, garantindo mais segurança no...",Indicação nº 128/2026
127,2026,13/08/2026,Encaminhado,Anderson Marcos Viana (Autor),"Indico ao Excelentíssimo Senhor Prefeito Municipal que estude junto ao setor competente da administração, as possibilidades de prosseguir com a revitalização da Praça Álvaro de Oliveira Junqueira. Tal indicação se justifica em razão do projeto inicial de revitalização da praça não ter sido integralmente concluído, apresentando lacunas...",Indicação nº 127/2026
126,2026,06/08/2026,Encaminhado,Reinaldo Codognato (Autor),"Indico ao Excelentíssimo Senhor Prefeito Municipal, que estude junto ao setor competente da administração, as possibilidades de instalar um poço artesiano no Bairro Vila São João, com o objetivo de atender a demanda por abastecimento de água dos moradores locais. Segundo informações de moradores, há dois poços artesianos desativados no...",Indicação nº 126/2026
125,2026,06/08/2026,Encaminhado,Anderson Marcos Viana (Autor),"Indico ao Excelentíssimo Senhor Prefeito Municipal, que estude junto ao setor competente da administração, as possibilidades de promover a retirada das duas primeiras vagas de estacionamento em 45 graus localizadas na Rua Belo Horizonte, especificamente na esquina com a Rua Rui Barbosa, visto que os caminhões e veículos de grande porte...",Indicação nº 125/2026
124,2026,04/08/2026,Encaminhado,Reinaldo Codognato (Autor),"Indico ao Excelentíssimo Senhor Prefeito Municipal, que estude junto ao setor competente da administração, as possibilidades de realizar a instalação de um redutor de velocidade na Rua Victor Camargo Bodini, nas proximidades do cruzamento com a Rua Sebastião Rosa dos Santos, no Bairro Frei Galvão, ou que seja conduzido um estudo técnico...",Indicação nº 124/2026
