Numero,Ano,Data,Situacao,Autores,Ementa,Titulo
225,2024,12/12/2024,Encaminhado,"Anderson Marcos Viana (Autor), Valdir Aparecido de Oliveira (Autor)","Indico ao Excelentíssimo Senhor Prefeito Municipal, que estude junto ao setor competente da administração, as possibilidades de instituir, no município de Junqueirópolis, a Festa Cristã, a ser realizada anualmente, com o objetivo de promover a cultura cristã, o turismo religioso e a integração da comunidade. Sugiro que o evento conte...",Indicação nº 225/2024
224,2024,05/12/2024,Encaminhado,Reinaldo Codognato (Autor),"Indico ao Excelentíssimo Senhor Prefeito Municipal que estude as possibilidades no sentido de estar disponibilizando rádios comunicadores aos motoristas que atuam no serviço de transporte escolar, tendo em vista que certos lugares não são possível acessar a comunicação através de telefones celulares. A comunicação por rádios será de...",Indicação nº 224/2024
223,2024,05/12/2024,Encaminhado,Anderson Marcos Viana (Autor),"Indico ao Excelentíssimo Senhor Prefeito Municipal que determine ao setor de obras do município, providencias quanto a pavimentação asfáltica que está se desintegrando no final da Avenida Junqueira (Jardim Alvorada), recentemente recapeado pela atual administração. Solicito também providencias imediata quanto a erosão que está se...",Indicação nº 223/2024
222,2024,05/12/2024,Encaminhado,Sofia Rodrigues dos Santos (Autor),Indico ao Excelentíssimo Senhor Prefeito Municipal que estude as possibilidades no sentido de estar denominando o nome da saudosa Senhora Amélia Cavichia Pinatto para a Casa do Artesanato de nossa cidade. Nosso pedido se justifica por se tratar de uma pioneira que foi muito respeitada e querida no seio de nossa comunidade durante os...,Indicação nº 222/2024
221,2024,04/12/2024,Encaminhado,Teresinha de Lourdes Freitas Regodanso (Autor),"Indico ao Excelentíssimo Senhor Prefeito Municipal, que estude junto ao setor competente da administração, as possibilidades de realizar a manutenção do telhado e paredes da Biblioteca Municipal em razão das infiltrações decorrentes dos períodos de chuva, bem como proceder uma reforma geral. As infiltrações de água representam um risco...",Indicação nº 221/2024
220,2024,04/12/2024,Encaminhado,Reinaldo Codognato (Autor),"Indico ao Excelentíssimo Senhor Prefeito Municipal, que estude junto ao setor competente da administração em conjunto com a Associação Comercial e Empresarial de Junqueirópolis (ACEJ), as possibilidades de criar vagas destinadas à carga e descarga no quadrilátero central da cidade. Essa indicação se justifica pela frequência com que...",Indicação nº 220/2024
219,2024,28/11/2024,Encaminhado,Reinaldo Codognato (Autor),"Indico ao Excelentíssimo Senhor Prefeito Municipal, que estude junto ao setor competente da administração, as possibilidades de melhorias no escoamento de água na Rua da Amora, esquina com a Rua do Caju. Segundo relatos dos moradores, alagamentos frequentes têm afetado as residências da região, causando transtornos. Solicito que sejam...",Indicação nº 219/2024
218,2024,28/11/2024,Encaminhado,Reinaldo Codognato (Autor),"Indico ao Excelentíssimo Senhor Prefeito Municipal, que estude junto ao setor competente da administração, as possibilidades de realizar melhorias nos pontos críticos da estrada rural do bairro Juriti. Segundo os moradores, em alguns trechos a estrada está abaixo do nível das saídas de água, o que tem causado alagamentos. Essas...",Indicação nº 218/2024
217,2024,28/11/2024,Encaminhado,Anderson Marcos Viana (Autor),"Indico ao Excelentíssimo Senhor Prefeito Municipal, que estude junto ao setor competente da administração, as possibilidades de implementar ao menos duas vagas exclusivas para motos que estejam fazendo serviços de carga e descarga em cada quarteirão da Rua Rui Barbosa. Essa medida beneficiaria diretamente motoboys, entregadores de...",Indicação nº 217/2024
216,2024,27/11/2024,Encaminhado,Valdir Aparecido de Oliveira (Autor),"Indico ao Excelentíssimo Senhor Prefeito Municipal, que estude junto ao setor competente da administração e dentro dos parâmetros da Lei de Responsabilidade Fiscal, as possibilidades de conceder reajuste anual de 12,00% (doze por cento) nos salários de todos os servidores públicos municipais do Poder Executivo de Junqueirópolis, a contar...",Indicação nº 216/2024
215,2024,27/11/2024,Encaminhado,Teresinha de Lourdes Freitas Regodanso (Autor),"Indico à estimada empresa Elektro Redes S.A. que avalie a possibilidade de realizar a poda da árvore localizada na esquina da Rua Santa Terezinha com a Rua Recife. A referida árvore está entre os fios de energia, representando riscos durante dias de chuva e vento, o que tem causado quedas de energia e transtornos aos moradores.",Indicação nº 215/2024
214,2024,27/11/2024,Encaminhado,Teresinha de Lourdes Freitas Regodanso (Autor),"Indico ao Excelentíssimo Senhor Prefeito Municipal que avalie, junto ao setor competente da administração, a possibilidade de implementar um redutor de velocidade na Rua Santa Terezinha, no trecho entre a Rua Recife e a Rua São Luiz. Os moradores expressaram preocupação com a alta velocidade dos veículos que transitam pela via,...",Indicação nº 214/2024
213,2024,26/11/2024,Encaminhado,Anderson Marcos Viana (Autor),"Indico ao Excelentíssimo Senhor Prefeito Municipal que avalie, junto ao setor competente da administração, a possibilidade de reimplantar o REFIS – Programa de Regularização de Débitos com o Fisco Municipal. Essa iniciativa tem como objetivo oferecer à população uma oportunidade acessível e ágil para quitar suas dívidas com o Município,...",Indicação nº 213/2024
212,2024,21/11/2024,Encaminhado,"Elio Furini Neto (Autor), Marisa Alves da Silva Costa (Autor)","Indico ao Excelentíssimo Senhor Prefeito Municipal que avalie, junto ao setor competente da administração, a possibilidade de instalar um ""playground pet"" em alguma praça da cidade, com preferência para a Praça do Cristo. Trata-se de um local bastante movimentado e frequentado por famílias, moradores e tutores de animais de estimação, o...",Indicação nº 212/2024
211,2024,20/11/2024,Encaminhado,Reinaldo Codognato (Autor),"Indico ao Excelentíssimo Senhor Prefeito Municipal que avalie, junto ao setor competente da administração, a possibilidade de adotar as providências necessárias para o adequado direcionamento das águas pluviais na esquina da Avenida Internacional com a Rua São Paulo.",Indicação nº 211/2024
210,2024,20/11/2024,Encaminhado,Reinaldo Codognato (Autor),"Indico ao Excelentíssimo Senhor Prefeito Municipal que avalie, junto ao setor competente da administração, a possibilidade de mobilizar uma equipe da prefeitura para realizar a manutenção e a limpeza dos centros comunitários do município. Alternativamente, sugiro o fornecimento de materiais e produtos de limpeza, buscando reduzir os...",Indicação nº 210/2024
209,2024,18/11/2024,Encaminhado,Valdir Aparecido de Oliveira (Autor),"Indico ao Excelentíssimo Senhor Prefeito Municipal que avalie, junto ao setor competente da administração, a possibilidade de instalar uma placa na entrada da cidade com a mensagem: ""Esta cidade pertence ao Senhor Jesus."" Essa iniciativa pode fortalecer a identidade religiosa de nossa comunidade, além de valorizar as tradições culturais...",Indicação nº 209/2024
208,2024,14/11/2024,Encaminhado,Valdir Aparecido de Oliveira (Autor),"Indico ao Excelentíssimo Senhor Prefeito Municipal que avalie, junto ao setor competente da administração, a possibilidade de realizar a sinalização de solo indicando a velocidade permitida na Rua Rui Barbosa. A medida se justifica pela crescente preocupação com a segurança viária, especialmente em um período de maior movimentação no...",Indicação nº 208/2024
207,2024,14/11/2024,Encaminhado,Reinaldo Codognato (Autor),"Indico ao Excelentíssimo Senhor Prefeito Municipal que avalie, junto ao setor competente da administração, a possibilidade de ajustar as medidas e a profundidade das canaletas localizadas em frente ao Centro de Fisioterapia, na Avenida Bandeirante, e na Rua Goiânia, esquina com a Avenida Bandeirante. Essa solicitação é baseada em relatos...",Indicação nº 207/2024
206,2024,07/11/2024,Encaminhado,Anderson Marcos Viana (Autor),"Indico ao Excelentíssimo Senhor Prefeito Municipal que avalie, junto ao setor competente da administração, a possibilidade de instalar sinalização em frente aos Centros Educacionais Infantis (CEIs), destacando vagas prioritárias para cadeirantes e autistas. A presença de sinalização adequada facilita o acesso e promove a inclusão,...",Indicação nº 206/2024
205,2024,07/11/2024,Encaminhado,Valdir Aparecido de Oliveira (Autor),"Indico ao Excelentíssimo Senhor Prefeito Municipal que avalie, junto ao setor competente da administração, a possibilidade de construir uma canaleta na Avenida João Furini, nas proximidades do Residencial Athenas, para melhorar o escoamento das águas.",Indicação nº 205/2024
204,2024,06/11/2024,Encaminhado,Elio Furini Neto (Autor),"Indico ao Excelentíssimo Senhor Prefeito Municipal que avalie, junto ao setor competente da administração, a possibilidade de organizar um mutirão de limpeza dos bueiros, especialmente nos pontos conhecidos por alagamentos. Essa medida se justifica, pois as recentes chuvas evidenciaram os potenciais estragos que podem ocorrer.",Indicação nº 204/2024
203,2024,05/11/2024,Encaminhado,Sofia Rodrigues dos Santos (Autor),"Indico ao Excelentíssimo Senhor Prefeito Municipal que avalie, junto ao setor competente da administração, a possibilidade de homenagear o saudoso Milton Tramonti Crenitte atribuindo seu nome a uma rua ou ponto de referência significativo em nosso município. Pioneiro em nossa comunidade, ele dedicou décadas de sua vida à atividade rural,...",Indicação nº 203/2024
202,2024,23/10/2024,Encaminhado,Reinaldo Codognato (Autor),"Indico ao Excelentíssimo Senhor Prefeito Municipal que avalie, junto ao setor competente da administração, a possibilidade de reestruturar o Conselho Cultural Municipal. Essa iniciativa poderá abrir novas portas para buscar recursos em âmbito estadual e federal, fortalecendo os eventos do nosso calendário e, ao mesmo tempo, destinando os...",Indicação nº 202/2024
