Numero,Ano,Data,Situacao,Autores,Ementa,Titulo
045,2024,27/11/2024,Aprovado,Anderson Marcos Viana (Autor),"REQUEIRO À MESA, após ouvido o Douto Plenário e obedecidas as formalidades regimentais, o envio de ofício à Diretoria Administrativa, no sentido de fornecer a esta Casa de Leis, dentro do prazo legal, a data exata do show da dupla Thaeme & Thiago, previsto para a segunda quinzena de dezembro de 2024.",Requerimento nº 045/2024
044,2024,21/11/2024,Aprovado,Anderson Marcos Viana (Autor),"REQUEIRO À MESA, após ouvido o Douto Plenário e obedecidas as formalidades regimentais, o envio de ofício ao Presidente da Comissão Permanente de Educação, Saúde e Assistência Social desta Casa de Leis, solicitando que informe, dentro do prazo legal, se a Comissão tinha conhecimento acerca da situação da ambulância encontrada em uma...",Requerimento nº 044/2024
043,2024,20/11/2024,Aprovado,Reinaldo Codognato (Autor),"REQUEIRO À MESA, após ouvido o Douto Plenário e obedecidas as formalidades regimentais, o envio de ofício à Diretoria de Saúde, no sentido de fornecer a esta Casa de Leis, dentro do prazo legal, informações sobre a ambulância encontrada em uma oficina mecânica na cidade de Tupi Paulista, citada em postagens que geraram ampla repercussão,...",Requerimento nº 043/2024
042,2024,19/11/2024,Aprovado,Anderson Marcos Viana (Autor),"REQUEIRO À MESA, após ouvido o Douto Plenário e obedecidas as formalidades regimentais, o envio de ofício à Diretoria Jurídica, de Habitação e de Trânsito, no sentido de fornecer a esta Casa de Leis, dentro do prazo legal, informações sobre a situação atual da Rota Ecológica, considerando a existência de ciência sobre processo de despejo...",Requerimento nº 042/2024
041,2024,19/11/2024,Aprovado,Anderson Marcos Viana (Autor),"REQUEIRO À MESA, após ouvido o Douto Plenário e obedecidas as formalidades regimentais, o envio de ofício à Diretoria de Fazenda, Compras, Almoxarifado e Recursos Humanos, no sentido de fornecer a esta Casa de Leis, dentro do prazo legal, informações acerca da situação funcional do servidor Israel Gumiero no cargo de Auxiliar de...",Requerimento nº 041/2024
040,2024,19/11/2024,Aprovado,Anderson Marcos Viana (Autor),"REQUEIRO À MESA, após ouvido o Douto Plenário e obedecidas as formalidades regimentais, o envio de ofício à Diretoria de Planejamento, Obras, Serviços e Manutenção, no sentido de fornecer a esta Casa de Leis, dentro do prazo legal, se a Prefeitura Municipal possui o seguinte maquinário: Rolo Compactador Pé de Carneiro, Rolo Compactador...",Requerimento nº 040/2024
039,2024,06/11/2024,Aprovado,Anderson Marcos Viana (Autor),"REQUEIRO À MESA, após ouvido o Douto Plenário e obedecidas as formalidades regimentais, o envio de ofício à Diretoria Administrativa, no sentido de fornecer a esta Casa de Leis, dentro do prazo legal, informações detalhadas sobre a destinação de verbas realizadas por meio da Lei Paulo Gustavo e da Lei Aldir Blanc nos anos de 2023 e 2024,...",Requerimento nº 039/2024
038,2024,29/10/2024,Aprovado,Anderson Marcos Viana (Autor),"REQUEIRO À MESA, após ouvido o Douto Plenário e obedecidas as formalidades regimentais, o envio de ofício à Diretoria Administrativa, no sentido de fornecer a esta Casa de Leis, dentro do prazo legal, informações sobre a quantidade de servidores que recebem a Gratificação Por Tempo Integral e Dedicação Exclusiva (GTIDE) e a gratificação...",Requerimento nº 038/2024
037,2024,28/10/2024,Aprovado,Paulo Sérgio Cordeiro (Autor),"REQUEIRO À MESA, após ouvido o Douto Plenário e obedecidas as formalidades regimentais, o envio de ofício à Diretoria de Agronegócio, Indústria, Comércio e Meio Ambiente e Gestão de Resíduos Sólidos, no sentido de fornecer a esta Casa de Leis, dentro do prazo legal e em complementação ao requerimento n° 036/2024, os contratos atualizados...",Requerimento nº 037/2024
036,2024,07/10/2024,Aprovado,Paulo Sérgio Cordeiro (Autor),"REQUEIRO À MESA, após ouvido o Douto Plenário e obedecidas as formalidades regimentais, o envio de ofício à Diretoria de Agronegócio, Indústria, Comércio e Meio Ambiente e Gestão de Resíduos Sólidos, no sentido de fornecer a esta Casa de Leis, dentro do prazo legal, os contratos atualizados das empresas contempladas com terrenos no...",Requerimento nº 036/2024
