ID,Numero_Requerimento,Ano,Sessao,Data_Sessao,Vereador,Resumo,Diretoria_Destino,Resultado_Votacao,Oficio_Resposta,Status_Resposta,Observacoes
REQ-001,,2025,1ª Sessão Ordinária da 19ª Legislatura,2025-02-03,Prefeito Municipal (Elio Furini Neto),"Ofício do Poder Executivo solicitando a devolução dos Projetos de Lei nº 68/2024 (denominação da rota ecológica de Junqueirópolis), 74/2024 (denominação da Casa do Artesanato de Junqueirópolis) e 75/2024 (Plano Municipal da Primeira Infância), que se encontravam nesta Casa de Leis pendentes de votação (com pedido de vista do vereador Anderson Marcos Viana). O pedido de devolução foi tratado em plenário como requerimento, colocado em discussão e votação.",,Rejeitado,,Pendente,"[Apresentado pelo Poder Executivo, não por vereador] Ofício 025/2025 do Executivo (Elio Furini Neto), recebido em 30/01/2025, tratado pela Mesa como requerimento e submetido a votação em 03/02/2025; rejeitado por 5 votos a 3. A numeração '025' pertence à sequência própria de ofícios do Executivo (não à sequência de requerimentos de vereadores), podendo colidir com um Requerimento nº 025 de autoria de vereador em outra sessão do mesmo ano — isso é esperado e não constitui erro de extração. Após a rejeição, os Projetos de Lei 68/2024 e 74/2024 foram lidos, colocados em discussão e aprovados nesta mesma sessão (5 votos a 3 cada); não foi encontrado registro de votação do PL 75/2024 nesta sessão. [numero_requerimento deixado null deliberadamente: o Ofício 025/2025 do Executivo colidia com o Requerimento 025/2025 de vereador (Renato Vieira de Brito, sessão 26/05) — sequências de numeração diferentes que coincidiram por acaso.]"
REQ-002,001,2025,1ª Sessão Ordinária da 19ª Legislatura,2025-02-03,"Anderson Marcos Viana, Teresinha de Lourdes Freitas Regodanso","Solicita à diretoria de fazenda, compras, almoxarifado e recursos humanos informações contábeis sobre o impacto financeiro na folha de pagamento caso o piso salarial dos professores de educação básica seja pago integralmente, sem considerar evoluções, anuênios e outros benefícios.","Diretoria de Fazenda, Compras, Almoxarifado e Recursos Humanos",Aprovado,10/2025,Respondido,Resposta (ofício 10/2025) mencionada na sessão de 2025-02-17; texto do resumo do expediente ambíguo ao citar dois números de ofício (10 e 08) na mesma frase.
REQ-003,002,2025,2ª Sessão Ordinária da 19ª Legislatura,2025-02-10,"Reinaldo Codognato, Bruno Herreira, Edvaldo Aparecido Carvalho, Elizeu Adriano, Renato Vieira de Brito, Samir Edson Tino","Solicita ao Poder Executivo, junto ao setor responsável pela manutenção das estradas rurais, informações sobre a situação do trecho final da estrada JQL-114 (acesso à barranca do rio Aguapeí), interditado/bloqueado, prejudicando o acesso de pescadores; pede providências para restauração do trecho e da rampa de embarque/desembarque.","Diretoria de Planejamento, Obras, Serviços e Manutenção",Aprovado,,Pendente,
REQ-004,003,2025,2ª Sessão Ordinária da 19ª Legislatura,2025-02-10,Anderson Marcos Viana,"Solicita à diretoria de assistência social informações sobre a atual situação de morador da Estrada Boiadeira, nº 179 (saída para Irapuru), que teve seu caso amplamente divulgado e não estaria recebendo benefícios essenciais à sua subsistência.",Diretoria de Assistência Social,Aprovado,42/2025,Respondido,Resposta (ofício 42/2025) mencionada no resumo do expediente da sessão de 2025-02-24.
REQ-005,004,2025,4ª Sessão Ordinária da 19ª Legislatura,2025-02-24,"Reinaldo Codognato, Bruno Herreira, Edvaldo Aparecido Carvalho, Elizeu Adriano, Renato Vieira de Brito, Samir Edson Tino",Solicita à diretoria administrativa os motivos que levaram à retirada da placa de identificação localizada na rotatória do bairro Figueira.,Diretoria Administrativa,Aprovado,,Pendente,
REQ-006,005,2025,4ª Sessão Ordinária da 19ª Legislatura,2025-02-24,"Reinaldo Codognato, Bruno Herreira, Edvaldo Aparecido Carvalho, Elizeu Adriano, Renato Vieira de Brito, Samir Edson Tino","Solicita à diretoria de saúde informações sobre eventual falta de medicamentos nas estratégias de saúde da família e na farmácia municipal; se positivo, pede esclarecimento dos motivos, prazo para reposição e, caso decorrente de processo licitatório, previsão de atendimento das demandas.",Diretoria de Saúde,Aprovado,,Pendente,
REQ-007,006,2025,4ª Sessão Ordinária da 19ª Legislatura,2025-02-24,"Reinaldo Codognato, Bruno Herreira, Edvaldo Aparecido Carvalho, Elizeu Adriano, Renato Vieira de Brito, Samir Edson Tino","Solicita informações sobre a previsão para o início das atividades do complexo de saúde localizado no bairro Buchirara, incluindo esclarecimentos sobre as especialidades e serviços que serão oferecidos no local.",Diretoria de Saúde,Aprovado,,Pendente,Transcrição do trecho que identifica a diretoria destinatária ficou corrompida ('o envio de autornecer esta casa de leis...'); diretoria de Saúde inferida pelo assunto (complexo de saúde). Durante a votação o locutor chamou o requerimento de 'número sete' por engano (o texto lido identifica-o como 'Requerimento número zero seis'); numeração 006 adotada conforme o cabeçalho do documento lido.
REQ-008,007,2025,4ª Sessão Ordinária da 19ª Legislatura,2025-02-24,Anderson Marcos Viana,"Solicita, por meio de ofício ao juízo da Primeira Vara Federal de Tupã, providências relacionadas à presidência dos trabalhos eleitorais ('presidência de votos') na região.",Juízo de Direito da Primeira Vara Federal de Tupã (Dr. Manderley Pedro Consternaro),Aprovado,,Pendente,Nome do magistrado ('Manderley Pedro Consternaro') e a natureza exata do pedido ('presidência de votos na região') soam incertos na transcrição (possível erro de reconhecimento de fala); conferir texto original do requerimento.
REQ-009,008,2025,4ª Sessão Ordinária da 19ª Legislatura,2025-02-24,Anderson Marcos Viana,"Solicita à diretoria jurídica cópia do parecer jurídico emitido em abril de 2021 que embasou o entendimento da Prefeitura sobre incompatibilidade do vereador Anderson Marcos Viana em ocupar emprego na Santa Casa de Junqueirópolis, resultando em sua demissão; pergunta se a atual administração mantém o mesmo entendimento sobre incompatibilidade entre mandato de vereador e emprego em entidade conveniada com a Prefeitura.","Diretoria Jurídica, Habitação e de Trânsito",Aprovado,,Pendente,Trecho da transcrição nomeia a destinatária de forma confusa ('diretoria jurídica de habitação de trânsito'); adotado 'Diretoria Jurídica' com base no conteúdo do pedido (parecer jurídico).
REQ-010,009,2025,5ª Sessão Ordinária da 19ª Legislatura,2025-03-05,Reinaldo Codognato,"Solicita à Escola Estadual Geraldo Pecorari o número de alunos que residem a distância superior a 1.500 metros da unidade escolar, para verificar direito ao transporte escolar.",Escola Estadual Geraldo Pecorari,Aprovado,,Pendente,
REQ-011,010,2025,5ª Sessão Ordinária da 19ª Legislatura,2025-03-05,"Adriano de Marcos Lopes, Anderson Marcos Viana, Bruno Herreira, Edvaldo Aparecido Carvalho, Elizeu Adriano, Reinaldo Codognato, Renato Vieira de Brito, Samir Edson Tino, Teresinha de Lourdes Freitas Regodanso","Solicita à diretoria administrativa o fornecimento das respostas aos ofícios nº 006, 008, 094 e 114/2025 protocolados pelo Conselho Tutelar Municipal na Prefeitura (protocolos 25, 24, 383 e 489/2025); caso as respostas ainda não tenham sido encaminhadas, solicita informação sobre o motivo da pendência e previsão de atendimento.",Diretoria Administrativa,Aprovado,,Pendente,Assinado por todos os vereadores da Casa.
REQ-012,,2025,6ª Sessão Ordinária da 19ª Legislatura,2025-03-10,Bruno Herreira,"Pedido verbal, feito em explicações pessoais, para formalização de requerimento sobre a insuficiência de monitores nos ônibus escolares do município, tendo em vista a segurança dos alunos e dos motoristas.","Diretoria de Educação, Cultura, Esportes, Lazer e Turismo",,,Pendente,"[Pedido verbal, ainda não formalizado/numerado] Pedido verbal feito por Bruno Herreira ao final da sessão; o presidente confirmou que seria formalizado como requerimento na sessão seguinte. De fato, foi formalizado na sessão de 2025-03-17 como Requerimento nº 12/2025 (já extraído separadamente neste arquivo)."
REQ-013,011,2025,6ª Sessão Ordinária da 19ª Legislatura,2025-03-10,Renato Vieira de Brito,"Requer o envio de ofício à Diretoria Jurídica, Habitação e de Trânsito solicitando informações sobre a viabilidade de ceder um veículo à Câmara Municipal, para aprimorar a eficiência dos trabalhos legislativos e viagens dos vereadores em busca de recursos.","Diretoria Jurídica, Habitação e de Trânsito",Aprovado,,Pendente,"O texto lido no requerimento nomeia a diretoria destinatária como 'diretoria jurídica de habitação e de trânsito', uma combinação incomum de pastas; pode ser erro de transcrição do nome real da diretoria/secretaria. Confirmar o nome oficial antes de publicar."
REQ-014,012,2025,7ª Sessão Ordinária da 19ª Legislatura,2025-03-17,"Bruno Herreira, Edvaldo Aparecido Carvalho, Elizeu Adriano, Reinaldo Codognato, Renato Vieira de Brito, Samir Edson Tino","Solicita esclarecimentos sobre a insuficiência de monitores nos ônibus escolares, pedindo resposta por escrito diante da importância da segurança de alunos e motoristas.","Diretoria de Educação, Cultura, Esportes, Lazer e Turismo",Aprovado,,Pendente,"Formalização, por escrito, do pedido verbal feito na sessão de 2025-03-10 por Bruno Herreira. Aprovado por unanimidade."
REQ-015,013,2025,7ª Sessão Ordinária da 19ª Legislatura,2025-03-17,"Reinaldo Codognato, Bruno Herreira, Edvaldo Aparecido Carvalho, Elizeu Adriano, Renato Vieira de Brito, Samir Edson Tino","Solicita informações sobre o convênio pretendido para a construção de ciclovia na rodovia vicinal JQL-020, no trecho entre a SP-294 e o bairro Duas Barras, por meio de parceria com o Estado de São Paulo (Secretaria de Justiça e Cidadania / FID). Pede confirmação se o convênio foi firmado, prazos e etapas da obra ou, caso não celebrado, os motivos e se há nova tentativa prevista.","Diretoria de Licitações, Contratos e Convênios",Aprovado,,Pendente,Aprovado por unanimidade. Gerou intenso debate sobre decisão do Executivo de não assinar o convênio da ciclovia; resposta do Executivo (Ofício nº 71/2025) foi lida na sessão de 2025-03-31.
REQ-016,014,2025,9ª Sessão Ordinária da 19ª Legislatura,2025-03-31,Anderson Marcos Viana,"Solicita à Irmandade da Santa Casa de Misericórdia de Junqueirópolis a orientação ou posicionamento atual da entidade quanto à possibilidade de vereadores ocuparem cargos na instituição, incluindo se mantém o mesmo entendimento jurídico que, em 2021, identificou incompatibilidade para o vereador Anderson Marcos Viana ocupar cargo na entidade.",Irmandade da Santa Casa de Misericórdia de Junqueirópolis,Aprovado,,Pendente,"Destinatário não é uma diretoria/secretaria municipal, e sim entidade externa (Santa Casa de Misericórdia); mantido conforme texto lido no requerimento."
REQ-017,015,2025,9ª Sessão Ordinária da 19ª Legislatura,2025-03-31,"Bruno Herreira, Edvaldo Aparecido Carvalho, Elizeu Adriano, Reinaldo Codognato, Renato Vieira de Brito, Samir Edson Tino","Solicita esclarecimentos sobre o motivo pelo qual os funcionários do setor de obras registram o ponto às 17h30, enquanto os demais servidores da prefeitura encerram a jornada às 17h, questionando se é possível nivelar os horários.","Diretoria de Planejamento, Obras, Serviços e Manutenção",Aprovado,,Pendente,Aprovado por unanimidade.
REQ-018,,2025,10ª Sessão Ordinária da 19ª Legislatura,2025-04-07,Anderson Marcos Viana,"Pedido verbal, feito em explicações pessoais, solicitando reunião com a diretora/coordenadora de trânsito do município nesta Casa de Leis, para discutir projetos de segurança viária em locais de acidentes recorrentes (como em frente ao PSF3), diante do pedido reiterado de lombadas e lombofaixas sem providências efetivas.","Diretoria Jurídica, Habitação e de Trânsito",,,Pendente,"[Pedido verbal, ainda não formalizado/numerado] Pedido verbal ainda não formalizado em requerimento escrito nesta sessão. O presidente respondeu: 'pode ficar tranquilo, vamos constar na pauta o requerimento para a diretora/coordenadora de trânsito, para uma reunião essa semana ainda aqui nessa casa de leis'. A ser formalizado em sessão futura."
REQ-019,016,2025,11ª Sessão Ordinária da 19ª Legislatura,2025-04-14,Anderson Marcos Viana,"Requer à diretoria de saúde informações sobre a contratação de médicos recém-empregados nas unidades de ESF, questionando se houve processo seletivo (com número e publicação do edital) ou, caso contrário, como se deu a escolha e contratação dos profissionais.",Diretoria de Saúde,Aprovado,,Pendente,
REQ-020,017,2025,11ª Sessão Ordinária da 19ª Legislatura,2025-04-14,Anderson Marcos Viana,"Requer à diretoria de saúde informações detalhadas sobre a destinação dos recursos transferidos pelo Fundo Nacional de Saúde em março de 2025 (R$ 18.216), especialmente quanto ao repasse desses valores aos agentes de combate a endemias, já que os funcionários cadastrados alegam não receber o valor integral.",Diretoria de Saúde,Aprovado,,Pendente,
REQ-021,018,2025,11ª Sessão Ordinária da 19ª Legislatura,2025-04-14,"Reinaldo Codognato, Bruno Herreira, Edvaldo Aparecido Carvalho, Elizeu Adriano, Renato Vieira de Brito, Samir Edson Tino","Requer à diretoria de saúde informações sobre a distribuição e disponibilidade de materiais médicos, insumos hospitalares e medicamentos nas unidades de ESF, diante de relatos de escassez de itens como gaze, esparadrapo, micropore e pomadas, além da frequência e critérios de envio desses insumos às unidades.",Diretoria de Saúde,Aprovado,,Pendente,
REQ-022,019,2025,13ª Sessão Ordinária da 19ª Legislatura,2025-04-28,Anderson Marcos Viana,"Requer à diretoria de planejamento, obras, serviços e manutenção informações sobre a destinação dos valores arrecadados com a contribuição para custeio da iluminação pública nos meses de janeiro a março de 2025, período em que, segundo relato, não havia empresa contratada para a manutenção da rede.","Diretoria de Planejamento, Obras, Serviços e Manutenção",Aprovado,,Pendente,
REQ-023,020,2025,13ª Sessão Ordinária da 19ª Legislatura,2025-04-28,"Bruno Herreira, Anderson Marcos Viana, Edvaldo Aparecido Carvalho, Elizeu Adriano, Reinaldo Codognato, Renato Vieira de Brito, Samir Edson Tino","Requer à diretoria de saúde informações atualizadas sobre a fila de espera para atendimento psicológico na rede municipal de saúde, incluindo número de pacientes aguardando, ordem de chamada, tempo médio de espera e se a fila está em andamento ou paralisada.",Diretoria de Saúde,Aprovado,,Pendente,
REQ-024,021,2025,13ª Sessão Ordinária da 19ª Legislatura,2025-04-28,Renato Vieira de Brito,"Requer à diretoria de educação, cultura, esporte, lazer e turismo o envio da prestação de contas do FUNDEB referente ao último trimestre, com detalhamento das receitas recebidas e despesas realizadas.","Diretoria de Educação, Cultura, Esportes, Lazer e Turismo",Aprovado,,Pendente,
